name,team,position,games_played,metric1_giveaway_rate,metric3_dzone_giveaway_rate,metric2_above_expected,total_giveaways,I_F_dZoneShiftStarts,confidence_dzone,metric3_dzone_giveaway_weighted,icetime_minutes,confidence,metric1_weighted,metric2_weighted,metric1_z,metric2_z,metric3_z,composite_score
Jason Dickinson,EDM,C,63,2.551123709252885,0.0761904761904762,0.0080433795731166,37.0,210.0,1.0,0.0761904761904762,823.1666666666666,0.7725477097513855,2.6337564341536903,0.006435932256178542,0.5128362296010743,1.1563282570935534,0.6769519338040908,2.3461164204987184
Ryan Hartman,MIN,R,76,3.0949292630689875,0.12686567164179105,0.0008455304360369,57.0,134.0,0.9540983606557376,0.12584891547439678,1105.0333333333333,0.9862873959593406,3.092454020154359,0.0008473221874542409,-0.3252427540137874,-0.027294220733574848,-0.4396285174470819,-0.7921654921944441
Noel Acciari,PIT,C,67,1.492777995346587,0.023809523809523808,-0.0004180577712638,18.0,252.0,1.0,0.023809523809523808,723.4833333333333,0.696957769873797,1.9235957607683498,4.459697669111724e-06,1.8103593766994857,-0.20580568894462217,1.854748664629425,3.459302352384288
Ryan Lomberg,CGY,L,57,2.1146064482443547,0.1320754716981132,-0.00492677342125,18.0,53.0,0.489344262295082,0.11810364504479573,510.73333333333335,0.5356292992940581,2.486016737076774,-0.0021856078395823134,0.7827690545050384,-0.6696443059125808,-0.2654744828850936,-0.15234973429263604
Tyson Kozak,BUF,C,46,3.677489967165268,0.0782608695652174,-0.0052331822542814,28.0,115.0,0.8450819672131147,0.08235907782196047,456.8333333333333,0.49475689241157667,3.2919544622465406,-0.002095937194523707,-0.6897468038325437,-0.650652787487168,0.5382496287660489,-0.8021499625536629
Josh Dunne,BUF,C,34,2.857596443879981,0.109375,0.0145253729684695,15.0,64.0,0.5524590163934426,0.10728941975841243,314.95,0.38716666365753694,2.892420221637054,0.006221985028888389,0.04023578275304584,1.1110159622339446,-0.022314352918794328,1.128937392068196
Kasperi Kapanen,EDM,R,41,2.6699629171817056,0.10714285714285714,0.0015961870389323,24.0,56.0,0.5065573770491802,0.10594480566169522,539.3333333333334,0.5573166988643544,2.778180280510825,0.0013217269161232028,0.24896174222899561,0.07318086941137761,0.007919577839422959,0.33006218947979615
Ryan Greene,CHI,C,80,2.414223331253899,0.08333333333333333,-0.0158163333989226,43.0,180.0,1.0,0.08333333333333333,1068.6666666666667,0.9587105277411667,2.4348762152396124,-0.015122978763471023,0.8762070796241843,-3.409674982806317,0.5163432886915456,-2.017124614490587
Zachary Aston-Reese,CBJ,L,27,2.466767164588187,0.11904761904761904,-0.0009802783110379,10.0,42.0,0.4262295081967213,0.11082393483709273,243.23333333333332,0.33278386625020306,2.7654488032014863,0.00032511224682995357,0.27222321970123753,-0.1378940686862463,-0.10178866782713308,0.032540483187858155
Matt Savoie,EDM,C,82,2.824990817110228,0.14893617021276595,0.0051959989630651,47.0,94.0,0.7245901639344262,0.1367572008150827,998.2333333333333,0.9053008828786537,2.833459744864504,0.004796387253265645,0.14796152179130298,0.809085866768793,-0.6849036075166869,0.2721437810434091
