player_name,total_giveaways,mean_above_expected
Joel Nystrom,30,0.008935164429706426
John Beecher,14,-0.005118254948720118
John Carlson,100,-0.005810662246378812
John Hayden,2,0.02027146363295869
John Klingberg,67,-0.0005015674244860392
John Leonard,9,-0.003947710757571383
John Marino,83,0.006270453624589946
John Tavares,63,0.006550324549979957
Johnathan Kovacevic,25,0.014642512193956117
Jonah Gadjovich,3,-0.01412844475055776
Jonas Brodin,40,-0.002522772151182371
Jonas Siegenthaler,82,-0.00047738123994369596
Jonatan Berggren,38,0.010936406754077203
Jonathan Aspirot,55,0.00969742274959242
Jonathan Drouin,32,-0.01003660704733448
Jonathan Huberdeau,46,0.003360075937126161
Jonathan Lekkerimäki,6,0.005760415402396042
Jonathan Marchessault,58,0.003230116075687898
Jonathan Toews,58,-0.00741859725723697
Jonny Brodzinski,19,0.0043572530212000775
Joona Koppanen,4,-0.015476316333148301
Jordan Eberle,48,0.009268497369796336
Jordan Greenway,18,0.007767590494883588
Jordan Harris,6,0.01970497650502266
Jordan Kyrou,46,-0.0016604596009177808
Jordan Martinook,40,0.0001555277422064114
Jordan Spence,64,0.013342647224841258
Jordan Staal,42,0.009388754552528111
Jorian Donovan,1,0.027716242142987197
Josh Anderson,38,-0.0025845576934380083
Josh Doan,52,0.003625355472670593
Josh Dunne,15,0.014525372968469567
Josh Manson,79,0.004834607142843607
Josh Morrissey,78,-0.008584044136609445
Josh Norris,13,-0.009834045069534253
Josh Samanski,10,-0.00946548413841734
Joshua Mahura,13,-0.006571584171958375
Joshua Roy,3,0.01413008318798358
Juho Lammikko,4,0.021815492751108403
Juraj Slafkovský,66,-0.003703602495954826
Justin Barron,50,0.003716964382652052
Justin Brazeau,39,0.008078493985187615
Justin Danforth,2,0.010038492799133509
Justin Faulk,58,0.009464269996657759
Justin Holl,3,0.026114902055881434
Justin Hryckowian,21,0.004640908561948086
Justin Kirkland,13,-0.025388667928156715
Justin Robidas,1,0.011713013009304472
Justin Sourdif,50,0.008878918949492868
Juuso Parssinen,9,0.011249464663481229
K'Andre Miller,69,-0.00031314431930429997
Kaapo Kakko,41,0.0046983363245606344
Kaedan Korczak,90,-0.0027794092410845118
Kai Uchacz,1,0.012368982215460263
Kaiden Guhle,34,-0.005069213906454281
Kailer Yamamoto,24,-0.011189998226244488
Kasperi Kapanen,24,0.0015961870389323322
Keaton Middleton,1,0.018984674920499867
Keegan Kolesar,37,0.004789362896232698
Kenny Connors,1,0.014386123787335494
Kent Johnson,39,0.00692216094864845
Kevin Bahl,80,-0.005534727761592635
Kevin Fiala,59,-0.0007512515464488893
